group	motion	pkl_path	video_path	frames	fps	duration_s
official_mimic_candidates	kick_front_g3_stageii	/data2/yangky/test/whole_body_tracking/artifacts/official_mimic_T800/gmr_pkl/kick_front_g3_stageii.pkl	/data2/yangky/test/whole_body_tracking/review_videos/t800_reference_audit_20260902/official_mimic_candidates/kick_front_g3_stageii.mp4	69	29.892	2.308
official_mimic_candidates	kick_push_left_g17_stageii	/data2/yangky/test/whole_body_tracking/artifacts/official_mimic_T800/gmr_pkl/kick_push_left_g17_stageii.pkl	/data2/yangky/test/whole_body_tracking/review_videos/t800_reference_audit_20260902/official_mimic_candidates/kick_push_left_g17_stageii.mp4	136	29.890	4.550
official_mimic_candidates	kick_push_right_g18_stageii	/data2/yangky/test/whole_body_tracking/artifacts/official_mimic_T800/gmr_pkl/kick_push_right_g18_stageii.pkl	/data2/yangky/test/whole_body_tracking/review_videos/t800_reference_audit_20260902/official_mimic_candidates/kick_push_right_g18_stageii.mp4	86	29.741	2.892
official_mimic_candidates	kick_reverse_spin_cresent_left_g19_stageii	/data2/yangky/test/whole_body_tracking/artifacts/official_mimic_T800/gmr_pkl/kick_reverse_spin_cresent_left_g19_stageii.pkl	/data2/yangky/test/whole_body_tracking/review_videos/t800_reference_audit_20260902/official_mimic_candidates/kick_reverse_spin_cresent_left_g19_stageii.mp4	97	29.923	3.242
official_mimic_candidates	kick_reverse_spin_cresent_right_g20_stageii	/data2/yangky/test/whole_body_tracking/artifacts/official_mimic_T800/gmr_pkl/kick_reverse_spin_cresent_right_g20_stageii.pkl	/data2/yangky/test/whole_body_tracking/review_videos/t800_reference_audit_20260902/official_mimic_candidates/kick_reverse_spin_cresent_right_g20_stageii.mp4	85	29.825	2.850
official_mimic_candidates	kick_roundhouse_left_g8_stageii	/data2/yangky/test/whole_body_tracking/artifacts/official_mimic_T800/gmr_pkl/kick_roundhouse_left_g8_stageii.pkl	/data2/yangky/test/whole_body_tracking/review_videos/t800_reference_audit_20260902/official_mimic_candidates/kick_roundhouse_left_g8_stageii.mp4	76	29.707	2.558
official_mimic_candidates	kick_roundhouse_right_g9_stageii	/data2/yangky/test/whole_body_tracking/artifacts/official_mimic_T800/gmr_pkl/kick_roundhouse_right_g9_stageii.pkl	/data2/yangky/test/whole_body_tracking/review_videos/t800_reference_audit_20260902/official_mimic_candidates/kick_roundhouse_right_g9_stageii.mp4	53	29.581	1.792
official_mimic_candidates	kick_spinning_back_g4_stageii	/data2/yangky/test/whole_body_tracking/artifacts/official_mimic_T800/gmr_pkl/kick_spinning_back_g4_stageii.pkl	/data2/yangky/test/whole_body_tracking/review_videos/t800_reference_audit_20260902/official_mimic_candidates/kick_spinning_back_g4_stageii.mp4	82	29.909	2.742
official_mimic_candidates	punch_cross_left_e3_stageii	/data2/yangky/test/whole_body_tracking/artifacts/official_mimic_T800/gmr_pkl/punch_cross_left_e3_stageii.pkl	/data2/yangky/test/whole_body_tracking/review_videos/t800_reference_audit_20260902/official_mimic_candidates/punch_cross_left_e3_stageii.mp4	98	30.000	3.267
official_mimic_candidates	punch_cross_right_e4_stageii	/data2/yangky/test/whole_body_tracking/artifacts/official_mimic_T800/gmr_pkl/punch_cross_right_e4_stageii.pkl	/data2/yangky/test/whole_body_tracking/review_videos/t800_reference_audit_20260902/official_mimic_candidates/punch_cross_right_e4_stageii.mp4	73	29.796	2.450
