group	motion	source_path	frames	fps	duration_s	root_z_min	root_z_max	root_up_z_min	tracking_body_z_min	review_hint	notes
punching	accad_e1_jab_left_t800_tracking	/data2/yangky/test/whole_body_tracking/artifacts/boxing_T800/accad_combat_batch/accad_e1_jab_left_t800_tracking.npz	41	50.000	0.820	0.7150	0.8169	0.9665	-0.1063	check	tracking_body_below_floor=-0.1063m
punching	accad_e2_jab_right_t800_tracking	/data2/yangky/test/whole_body_tracking/artifacts/boxing_T800/accad_combat_batch/accad_e2_jab_right_t800_tracking.npz	35	50.000	0.700	0.7106	0.7504	0.9733	-0.0799	check	tracking_body_below_floor=-0.0799m
punching	accad_e5_hook_left_t800_tracking	/data2/yangky/test/whole_body_tracking/artifacts/boxing_T800/accad_combat_batch/accad_e5_hook_left_t800_tracking.npz	33	50.000	0.660	0.6831	0.8059	0.9680	-0.1207	check	tracking_body_below_floor=-0.1207m
punching	accad_e6_hook_right_t800_tracking	/data2/yangky/test/whole_body_tracking/artifacts/boxing_T800/accad_combat_batch/accad_e6_hook_right_t800_tracking.npz	32	50.000	0.640	0.7237	0.7706	0.9825	-0.0943	check	tracking_body_below_floor=-0.0943m
punching	MA_Punching_Techniques_00001_t800_tracking	/data2/yangky/test/datasets/MotionDecode_T800_aligned/tracking_npz/samples/4.Martial_Arts/Punching_Techniques/MA_Punching_Techniques_00001_t800_tracking.npz	449	50.000	8.980	1.0270	1.0572	0.7947	0.0284	normal_numeric_hint	
punching	MA_Punching_Techniques_00002_t800_tracking	/data2/yangky/test/datasets/MotionDecode_T800_aligned/tracking_npz/samples/4.Martial_Arts/Punching_Techniques/MA_Punching_Techniques_00002_t800_tracking.npz	449	50.000	8.980	0.9837	1.0407	0.8070	0.0137	normal_numeric_hint	
punching	MA_Punching_Techniques_00003_t800_tracking	/data2/yangky/test/datasets/MotionDecode_T800_aligned/tracking_npz/samples/4.Martial_Arts/Punching_Techniques/MA_Punching_Techniques_00003_t800_tracking.npz	449	50.000	8.980	1.0100	1.0591	0.7632	0.0328	normal_numeric_hint	
punching	MA_Punching_Techniques_00004_t800_tracking	/data2/yangky/test/datasets/MotionDecode_T800_aligned/tracking_npz/samples/4.Martial_Arts/Punching_Techniques/MA_Punching_Techniques_00004_t800_tracking.npz	449	50.000	8.980	1.0314	1.0846	0.7097	0.0110	normal_numeric_hint	
punching	MA_Punching_Techniques_00005_t800_tracking	/data2/yangky/test/datasets/MotionDecode_T800_aligned/tracking_npz/samples/4.Martial_Arts/Punching_Techniques/MA_Punching_Techniques_00005_t800_tracking.npz	450	50.000	9.000	1.0347	1.0734	0.8084	0.0297	normal_numeric_hint	
punching	MA_Punching_Techniques_00006_t800_tracking	/data2/yangky/test/datasets/MotionDecode_T800_aligned/tracking_npz/samples/4.Martial_Arts/Punching_Techniques/MA_Punching_Techniques_00006_t800_tracking.npz	450	50.000	9.000	1.0078	1.0332	0.8105	0.0171	normal_numeric_hint	
punching	MA_Punching_Techniques_00007_t800_tracking	/data2/yangky/test/datasets/MotionDecode_T800_aligned/tracking_npz/samples/4.Martial_Arts/Punching_Techniques/MA_Punching_Techniques_00007_t800_tracking.npz	450	50.000	9.000	1.0290	1.0712	0.6960	0.0234	normal_numeric_hint	
punching	MA_Punching_Techniques_00008_t800_tracking	/data2/yangky/test/datasets/MotionDecode_T800_aligned/tracking_npz/samples/4.Martial_Arts/Punching_Techniques/MA_Punching_Techniques_00008_t800_tracking.npz	450	50.000	9.000	1.0262	1.0670	0.7416	0.0110	normal_numeric_hint	
punching	MA_Punching_Techniques_00009_t800_tracking	/data2/yangky/test/datasets/MotionDecode_T800_aligned/tracking_npz/samples/4.Martial_Arts/Punching_Techniques/MA_Punching_Techniques_00009_t800_tracking.npz	396	50.000	7.920	1.0170	1.0734	0.7869	0.0162	normal_numeric_hint	
punching	MA_Punching_Techniques_00010_t800_tracking	/data2/yangky/test/datasets/MotionDecode_T800_aligned/tracking_npz/samples/4.Martial_Arts/Punching_Techniques/MA_Punching_Techniques_00010_t800_tracking.npz	396	50.000	7.920	1.0032	1.0458	0.7794	0.0170	normal_numeric_hint	
punching	MA_Punching_Techniques_00011_t800_tracking	/data2/yangky/test/datasets/MotionDecode_T800_aligned/tracking_npz/samples/4.Martial_Arts/Punching_Techniques/MA_Punching_Techniques_00011_t800_tracking.npz	396	50.000	7.920	1.0177	1.0786	0.7345	0.0274	normal_numeric_hint	
punching	MA_Punching_Techniques_00012_t800_tracking	/data2/yangky/test/datasets/MotionDecode_T800_aligned/tracking_npz/samples/4.Martial_Arts/Punching_Techniques/MA_Punching_Techniques_00012_t800_tracking.npz	396	50.000	7.920	1.0554	1.1153	0.5848	0.0220	normal_numeric_hint	
punching	MA_Punching_Techniques_00013_t800_tracking	/data2/yangky/test/datasets/MotionDecode_T800_aligned/tracking_npz/samples/4.Martial_Arts/Punching_Techniques/MA_Punching_Techniques_00013_t800_tracking.npz	449	50.000	8.980	1.0196	1.0747	0.6990	0.0259	normal_numeric_hint	
punching	MA_Punching_Techniques_00014_t800_tracking	/data2/yangky/test/datasets/MotionDecode_T800_aligned/tracking_npz/samples/4.Martial_Arts/Punching_Techniques/MA_Punching_Techniques_00014_t800_tracking.npz	449	50.000	8.980	0.9934	1.0422	0.8048	0.0168	normal_numeric_hint	
